Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Aktion;Umsatz
30.12.2023;12:36:25;MM Solothurn;253;46;Bio Limes;1;0.00;2.50
30.12.2023;12:36:25;MM Solothurn;253;46;Bio Heidelbeeren;1;0.00;6.95
30.12.2023;12:36:25;MM Solothurn;253;46;Kiwi Gold;1;0.00;2.20
30.12.2023;12:36:25;MM Solothurn;253;46;Extra Blondorangen;1.086;0.81;1.90
30.12.2023;12:36:25;MM Solothurn;253;46;Mango essreif;1;0.00;1.80
30.12.2023;12:36:25;MM Solothurn;253;46;Äpfel Boskoop;1.100;0.00;3.85
30.12.2023;12:36:25;MM Solothurn;253;46;Wunderkerze 6 Stk.;1;0.00;5.95
30.12.2023;12:36:25;MM Solothurn;253;46;Folienballon 2024;1;0.00;5.95
30.12.2023;12:36:25;MM Solothurn;253;46;Tischbombe Maxi;1;0.00;14.95
30.12.2023;12:36:25;MM Solothurn;253;46;Perldor Classic 750ml;2;0.00;9.90
30.12.2023;12:36:25;MM Solothurn;253;46;Fenchel;0.297;0.00;0.95
30.12.2023;12:36:25;MM Solothurn;253;46;Schnittlauch;1;0.00;1.00
30.12.2023;12:36:25;MM Solothurn;253;46;Radieschen;1;0.00;1.60
30.12.2023;12:36:25;MM Solothurn;253;46;Rotkabis;0.559;0.00;0.95
30.12.2023;12:36:25;MM Solothurn;253;46;M-Drink UHT Brik 12x1l;1;0.00;15.35
30.12.2023;12:36:25;MM Solothurn;253;46;Excellence Vanille;2;0.00;2.10
30.12.2023;12:36:25;MM Solothurn;253;46;Excellence Classic;2;0.00;2.10
30.12.2023;12:36:25;MM Solothurn;253;46;Bio Roggenbrot;1;0.00;3.95
30.12.2023;12:36:25;MM Solothurn;253;46;Bio Joghurt Kirschen;2;0.00;1.90
30.12.2023;12:36:25;MM Solothurn;253;46;Elsa Waldbeere Joghurt;2;0.00;1.90
30.12.2023;12:36:25;MM Solothurn;253;46;Berg Vorzugsbutter;1;0.00;3.15
30.12.2023;12:36:25;MM Solothurn;253;46;MBud Crème Fraîche;1;0.00;6.25
30.12.2023;12:36:25;MM Solothurn;253;46;Schmelzkäse Gruyère;1;0.00;2.95
30.12.2023;12:36:25;MM Solothurn;253;46;Eier CH Respeggt;1;0.00;3.90
30.12.2023;12:36:25;MM Solothurn;253;46;Reiswaffeln Schokolade;1;0.00;1.20
30.12.2023;12:36:25;MM Solothurn;253;46;Toastauflage;1;0.00;3.95
30.12.2023;12:36:25;MM Solothurn;253;46;Dörrbohnen;1;0.00;4.60
30.12.2023;12:36:25;MM Solothurn;253;46;MClass Rippli;0.358;0.00;8.60
30.12.2023;12:36:25;MM Solothurn;253;46;ASC Rauchlachs;1;10.00;9.95
30.12.2023;12:36:25;MM Solothurn;253;46;MClass Langkornreis;1;0.00;2.45
30.12.2023;12:36:25;MM Solothurn;253;46;MClass Erbsen Karotten;4;0.00;9.60
30.12.2023;12:36:25;MM Solothurn;253;46;MClass MSC Thon Oel;1;0.00;1.95
30.12.2023;12:36:25;MM Solothurn;253;46;Ice Tea Zitrone 10x1l;1;3.35;4.95
30.12.2023;12:36:25;MM Solothurn;253;46;G'nuine Zero 70cl;1;0.00;24.95
30.12.2023;12:36:25;MM Solothurn;253;46;MClass Meerrettich;1;0.00;2.95
30.12.2023;12:36:25;MM Solothurn;253;46;Sélec Moscato;2;0.00;13.90
30.12.2023;12:36:25;MM Solothurn;253;46;MBud Orangensaft 1.5l;1;0.00;1.50
30.12.2023;12:36:25;MM Solothurn;253;46;Sun Queen FT Guave;1;0.00;2.25
30.12.2023;12:36:25;MM Solothurn;253;46;Noir Spécial 3x100g;1;0.00;6.30
30.12.2023;12:36:25;MM Solothurn;253;46;MBud Eisbergsalat;1;0.00;1.20
30.12.2023;12:36:25;MM Solothurn;253;46;LT Excel. Fleur de Sel;1;0.00;3.15
30.12.2023;12:36:25;MM Solothurn;253;46;MClass Chin. Poulet;1;0.00;17.95
30.12.2023;12:36:25;MM Solothurn;253;46;MClass Chin. Rind;1;0.00;19.95
30.12.2023;12:36:25;MM Solothurn;253;46;MNY FitMe FDT Mat 104;1;0.00;13.95
30.12.2023;12:36:25;MM Solothurn;253;46;Maybelline Mascara;1;0.00;15.95
30.12.2023;12:36:25;MM Solothurn;253;46;Wagyu Burger 2x125g;2;0.00;23.00
30.12.2023;12:36:25;MM Solothurn;253;46;MBud Cocktailcrevetten;1;0.00;5.60
30.12.2023;12:36:25;MM Solothurn;253;46;Bonus-Coupon 2x;1;0;0
30.12.2023;12:36:25;MM Solothurn;253;46;CUM +3xPkt.Ges.Sort.;1;0;0
23.12.2023;14:51:36;M Solothurn Öufi;251;153;MBud Baguette 300g;1;0.00;1.20
22.12.2023;15:02:33;MMM Langendorf;266;289;Extra Kiwi rot;1;0.75;2.15
22.12.2023;15:02:33;MMM Langendorf;266;289;MBud Bananen;0.933;0.00;1.40
22.12.2023;15:02:33;MMM Langendorf;266;289;Karotten;1;0.60;1.30
22.12.2023;15:02:33;MMM Langendorf;266;289;Champignons braun;0.300;0.00;3.00
22.12.2023;15:02:33;MMM Langendorf;266;289;Broccoli;0.462;0.32;1.20
22.12.2023;15:02:33;MMM Langendorf;266;289;Bio Roggenbrot;1;0.00;3.95
22.12.2023;15:02:33;MMM Langendorf;266;289;MClass Toast&Sandwich;1;0.00;1.20
22.12.2023;15:02:33;MMM Langendorf;266;289;MClass Kuchenteig;1;0.00;1.55
22.12.2023;15:02:33;MMM Langendorf;266;289;Frische Backhefe;2;0.00;0.60
22.12.2023;15:02:33;MMM Langendorf;266;289;Schwarzwälder Schinken;0.117;0.00;6.30
