Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Aktion;Umsatz
24.12.2024;12:05:26;MM Solothurn;251;102;Dill;1;0.00;2.10
24.12.2024;12:05:26;MM Solothurn;251;102;Valflora Crème Fraîche;1;0.00;2.85
24.12.2024;12:05:26;MM Solothurn;251;102;Züger Mascarpone;1;0.00;3.50
24.12.2024;12:05:26;MM Solothurn;251;102;Coaties Cappu.Mandel;1;0.00;3.95
24.12.2024;12:05:26;MM Solothurn;251;102;Blévita mini Paprika;1;0.00;3.00
24.12.2024;12:05:26;MM Solothurn;251;102;MBud Dragées Mix;1;0.00;7.50
24.12.2024;12:05:26;MM Solothurn;251;102;Frey Coaties Almond;2;0.00;7.90
24.12.2024;12:05:26;MM Solothurn;251;102;Shortbread Highlanders;1;0.00;5.60
24.12.2024;12:05:26;MM Solothurn;251;102;Etoilekerzen 8 Stk.;1;0.00;4.95
24.12.2024;12:05:26;MM Solothurn;251;102;Etoilekerzen 8 Stk.;2;0.00;9.90
24.12.2024;12:05:26;MM Solothurn;251;102;Bonus-Coupon 2x;1;0;0
24.12.2024;12:05:26;MM Solothurn;251;102;CUM +3xPkt.Ges.Sort.;1;0;0
14.12.2024;13:24:50;MM Solothurn;481;155;MClass Freiland Mix;1;0.00;2.95
14.12.2024;13:06:51;MM Solothurn;257;116;Kiwi Gold;1;0.00;2.00
14.12.2024;13:06:51;MM Solothurn;257;116;MBud Bananen;0.885;0.00;1.15
14.12.2024;13:06:51;MM Solothurn;257;116;Äpfel Boskoop;1.857;0.00;5.85
14.12.2024;13:06:51;MM Solothurn;257;116;Broccoli;0.472;0.00;1.70
14.12.2024;13:06:51;MM Solothurn;257;116;Nüsslisalat;1;0.00;3.00
14.12.2024;13:06:51;MM Solothurn;257;116;Bio Kartoffeln mehlig.;1;0.00;3.20
14.12.2024;13:06:51;MM Solothurn;257;116;Butterzopf;1;0.00;3.90
14.12.2024;13:06:51;MM Solothurn;257;116;Kuchenteig rund;1;0.00;1.70
14.12.2024;13:06:51;MM Solothurn;257;116;Schmelzkäse Gruyère;1;0.00;2.95
14.12.2024;13:06:51;MM Solothurn;257;116;Alfredo Mascarpone;1;0.00;3.60
14.12.2024;13:06:51;MM Solothurn;257;116;Berg Vorzugsbutter;1;0.00;3.25
14.12.2024;13:06:51;MM Solothurn;257;116;Eier CH Respeggt;1;0.00;3.90
14.12.2024;13:06:51;MM Solothurn;257;116;Vanillezucker 4x10g;1;0.00;3.70
14.12.2024;13:06:51;MM Solothurn;257;116;MClass Senf scharf;1;0.00;1.25
14.12.2024;13:06:51;MM Solothurn;257;116;Stimorol Spearmint;1;0.00;4.95
14.12.2024;13:06:51;MM Solothurn;257;116;F Noir Special 10x100g;1;0.00;13.00
14.12.2024;13:06:51;MM Solothurn;257;116;Condy Knoblauchgurken;1;0.00;3.30
14.12.2024;13:06:51;MM Solothurn;257;116;Condy Champ.Pizzaiola;1;0.00;2.60
14.12.2024;13:06:51;MM Solothurn;257;116;Nature Clean all in 1;1;0.00;15.90
14.12.2024;13:06:51;MM Solothurn;257;116;CUM +3xPkt.Ges.Sort.;1;0;0
09.12.2024;12:26:26;ALN Passage Sihlquai;254;151;VIE Roggensauerteig;1;0.00;5.50
07.12.2024;12:58:37;MM Solothurn;257;136;Sélec Knobl. schwarz;1;0.80;3.10
07.12.2024;12:58:37;MM Solothurn;257;136;Bananen;0.920;0.00;2.30
07.12.2024;12:58:37;MM Solothurn;257;136;Zwiebeln;1;0.00;1.50
07.12.2024;12:58:37;MM Solothurn;257;136;Knoblauch;1;0.00;0.50
07.12.2024;12:58:37;MM Solothurn;257;136;Äpfel Boskoop;1.875;0.00;6.00
07.12.2024;12:58:37;MM Solothurn;257;136;Karotten;1;0.00;1.30
07.12.2024;12:58:37;MM Solothurn;257;136;Kartoffeln Amandine;1;0.00;4.95
07.12.2024;12:58:37;MM Solothurn;257;136;Butterzopf;1;0.00;3.90
07.12.2024;12:58:37;MM Solothurn;257;136;Sbrinz Bröckli;1;0.00;3.50
07.12.2024;12:58:37;MM Solothurn;257;136;Tête de Moine Rosetten;1;0.00;4.85
07.12.2024;12:58:37;MM Solothurn;257;136;Luzerner Rahmkäse;0.289;1.30;6.80
07.12.2024;12:58:37;MM Solothurn;257;136;MClass Hartkäse rezent;0.305;0.00;5.65
07.12.2024;12:58:37;MM Solothurn;257;136;MBud Camembert;1;0.00;1.80
07.12.2024;12:58:37;MM Solothurn;257;136;Valflora Crème Fraîche;1;0.00;2.85
07.12.2024;12:58:37;MM Solothurn;257;136;Flammkuchenteig;1;0.00;2.65
07.12.2024;12:58:37;MM Solothurn;257;136;Kuchenteig rund;1;0.00;1.70
07.12.2024;12:58:37;MM Solothurn;257;136;Vermicelles fertig;1;0.00;4.90
07.12.2024;12:58:37;MM Solothurn;257;136;Ovo Crunchy Biscuit 3x;1;0.00;9.95
07.12.2024;12:58:37;MM Solothurn;257;136;MClass Haferflöckli;1;0.00;1.50
